id,address,sale_date,asked_price,sold_price,rooms,living_space,has_balcony,floor,avgift,driftskostnad,built,total_floors,has_lift,lat,lng,avgift_sqm,valdistrikt
563,Eklanda Hage 145C,2020-12-30,4350000.0,4510000,5.0,116.0,,,6296.0,15456.0,1997-01-01,,0,57.654145682076276,11.963736575292543,54.275862068965516,Eklanda Västra
564,Högenvägen 23,2020-12-30,2595000.0,2800000,3.0,72.0,1.0,2.0,3735.0,7140.0,2100-01-01,2.0,0,57.60777974411471,12.058046036213792,51.875,Brattås Södra
565,Frälsegårdsgatan 1 B,2020-12-29,1150000.0,2300000,2.0,54.0,,2.0,2539.0,4980.0,1957-01-01,3.0,0,57.66076092038739,12.001015634516756,47.01851851851852,Bosgården Södra
566,Toltorpsgatan 50 B,2020-12-29,900000.0,2000000,1.0,34.0,,,1781.0,,2100-01-01,,0,57.673122880135374,11.978521941825793,52.38235294117647,Toltorp Norra
567,Broslättsgatan 36 lgh 1203,2020-12-23,3150000.0,3150000,2.0,54.0,1.0,2.0,3506.0,,2100-01-01,2.0,1,57.654087260234576,12.011442052275216,64.92592592592592,Broslätt Västra
567,Broslättsgatan 36 lgh 1203,2020-12-23,3150000.0,3150000,2.0,54.0,1.0,2.0,3506.0,,2100-01-01,2.0,1,57.654087260234576,12.011442052275216,64.92592592592592,Broslätt Västra
569,Häradsgatan 31,2020-12-22,2350000.0,2560000,2.0,57.0,1.0,3.0,3501.0,4320.0,1957-01-01,7.0,1,57.662186223088625,12.004268707644245,61.421052631578945,Bosgården Södra
570,Pinnharvsgatan 7E,2020-12-21,1850000.0,1850000,2.0,53.0,,1.0,3622.0,3660.0,1968-01-01,3.0,0,57.661413692522984,11.99217435174692,68.33962264150944,Västerberg
571,Tvillinggatan 7 A,2020-12-18,2200000.0,2620000,3.0,66.0,1.0,2.0,2836.0,6300.0,1960-01-01,3.0,0,57.65791988607002,11.997192353648213,42.96969696969697,Fässberg Västra
572,Utsädesgatan 4 B,2020-12-17,2100000.0,2560000,3.0,77.0,1.0,1.0,4544.0,5880.0,1970-01-01,3.0,0,57.660423342845725,11.993614701739078,59.01298701298701,Västerberg
573,Tallkottegatan 2a,2020-12-16,2795000.0,2795000,2.0,68.0,,1.0,4362.0,,1981-01-01,,0,57.661668001544776,12.040265784242061,64.1470588235294,Lackarebäck Södra
574,Broslättsgatan 36 lgh 1001,2020-12-15,1700000.0,1700000,1.0,25.0,,,1880.0,,2100-01-01,,1,57.654087260234576,12.011442052275216,75.2,Broslätt Västra
574,Broslättsgatan 36 lgh 1001,2020-12-15,1700000.0,1700000,1.0,25.0,,,1880.0,,2100-01-01,,1,57.654087260234576,12.011442052275216,75.2,Broslätt Västra
576,Broslättsgatan 13,2020-12-15,3795000.0,4000000,3.0,79.0,1.0,3.0,4137.0,7020.0,2018-01-01,17.0,1,57.65419337628369,12.015172216067334,52.36708860759494,Broslätt Östra
577,Ponnygatan 8 B,2020-12-14,2895000.0,3150000,4.0,97.0,,1.0,5716.0,7956.0,1967-01-01,3.0,0,57.647053210070524,12.01044494564102,58.92783505154639,Åby Västra
578,Broslättsgatan 36 lgh 1201,2020-12-11,3150000.0,3150000,2.0,55.0,1.0,2.0,3571.0,,2100-01-01,2.0,1,57.654087260234576,12.011442052275216,64.92727272727272,Broslätt Västra
579,Broslättsgatan 36 lgh 1102,2020-12-11,2300000.0,2300000,1.0,35.0,1.0,1.0,2392.0,,2100-01-01,2.0,1,57.654087260234576,12.011442052275216,68.34285714285714,Broslätt Västra
580,Toltorpsgatan 135 - Vån 4,2020-12-11,4895000.0,5475000,4.0,118.0,1.0,4.0,5400.0,2556.0,2013-01-01,6.0,1,57.662744833106665,11.999778471703944,45.76271186440678,Bosgården Norra
581,Blandsädesgatan 6 B,2020-12-11,1695000.0,1925000,2.0,50.0,,1.0,3175.0,5400.0,1971-01-01,3.0,0,57.66143823836846,11.996230614396145,63.5,Bosgården Norra
582,Hagåkersgatan 4 A,2020-12-10,,1280000,1.0,18.0,,2.0,1757.0,3660.0,1952-01-01,3.0,0,57.66385922731946,12.010017241312921,97.61111111111111,Stadshuset Norra
583,Axgatan 28,2020-12-09,1695000.0,1800000,1.0,40.0,,2.0,2891.0,2500.0,1967-01-01,3.0,0,57.65894694723531,11.987851118550397,72.275,Ekhaga
584,Streteredsvägen 1A,2020-12-09,,2200000,3.0,68.0,,1.0,4034.0,,1960-01-01,,0,57.6114668099606,12.05004457234721,59.3235294117647,Brattås Norra
585,Åby Allé 47,2020-12-09,2495000.0,2750000,2.0,48.0,1.0,3.0,2702.0,4272.0,2018-01-01,6.0,1,57.65206414159311,12.000023602910533,56.291666666666664,Stallbacken
586,Eklanda Vall 25,2020-12-09,4730000.0,4730000,4.0,102.0,,,4381.0,29160.0,2003-01-01,,0,57.650336400416066,11.968296486059863,42.950980392156865,Eklanda Östra
4,Kvarnbygatan 39,2020-12-08,1995000.0,2250000,1.0,34.0,,4.0,2561.0,1440.0,2017-01-01,,1,57.65805582240293,12.029191474519497,75.32352941176471,Kvarnbyn Södra
588,Toltorpsgatan 137,2020-12-08,3450000.0,3450000,3.0,77.0,,,3982.0,7500.0,2013-01-01,,1,57.66290613024676,11.999379423277365,51.714285714285715,Bosgården Norra
589,Axgatan 12,2020-12-07,2495000.0,2660000,3.0,82.0,1.0,2.0,5207.0,5400.0,1967-01-01,3.0,0,57.657263754834545,11.988879424111405,63.5,Ekhaga
590,Sörgårdsgatan 29,2020-12-07,1850000.0,1930000,1.0,35.0,,2.0,2527.0,4104.0,1929-01-01,3.0,0,57.674727644285866,12.001002377240393,72.2,Sörgården Östra
591,Varmblodsgatan 2 C,2020-12-07,2320000.0,2320000,2.0,65.0,1.0,1.0,3655.0,5700.0,1967-01-01,3.0,0,57.645792170466045,12.006911243523906,56.23076923076923,Åby Västra
592,Vetekornsgatan 35,2020-12-07,2295000.0,2570000,3.0,82.0,1.0,3.0,5699.0,7032.0,2100-01-01,3.0,0,57.65893059696474,11.990183323067333,69.5,Ekhaga
